control_change channel=3 control=7 value=100 time=0
program_change channel=3 program=71 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=64 velocity=100 time=0
note_on channel=3 note=64 velocity=0 time=0
note_on channel=3 note=62 velocity=100 time=0
note_on channel=3 note=62 velocity=0 time=0
note_on channel=3 note=62 velocity=100 time=0
note_on channel=3 note=62 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0.06081075
note_on channel=3 note=64 velocity=100 time=0.00675675
note_on channel=3 note=64 velocity=0 time=0.12837825
note_on channel=3 note=62 velocity=100 time=0.00675675
note_on channel=3 note=62 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=64 velocity=100 time=0
note_on channel=3 note=64 velocity=0 time=0
note_on channel=3 note=64 velocity=100 time=0
note_on channel=3 note=64 velocity=0 time=0.06081075
note_on channel=3 note=64 velocity=100 time=0.00675675
note_on channel=3 note=64 velocity=0 time=0.12837825
note_on channel=3 note=64 velocity=100 time=0.00675675
note_on channel=3 note=64 velocity=0 time=0
note_on channel=3 note=64 velocity=100 time=0
note_on channel=3 note=64 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0.06081075
note_on channel=3 note=64 velocity=100 time=0.00675675
note_on channel=3 note=64 velocity=0 time=0.12837825
note_on channel=3 note=64 velocity=100 time=0.00675675
note_on channel=3 note=64 velocity=0 time=0
note_on channel=3 note=64 velocity=100 time=0
note_on channel=3 note=64 velocity=0 time=0.19594575
note_on channel=3 note=62 velocity=100 time=0
note_on channel=3 note=62 velocity=0 time=0
note_on channel=3 note=59 velocity=100 time=0
note_on channel=3 note=59 velocity=0 time=0.39864825
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=64 velocity=100 time=0
note_on channel=3 note=64 velocity=0 time=0
note_on channel=3 note=62 velocity=100 time=0
note_on channel=3 note=62 velocity=0 time=0
note_on channel=3 note=62 velocity=100 time=0
note_on channel=3 note=62 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0
note_on channel=3 note=57 velocity=100 time=0
note_on channel=3 note=57 velocity=0 time=0
note_on channel=3 note=57 velocity=100 time=0
note_on channel=3 note=57 velocity=0 time=0
note_on channel=3 note=57 velocity=100 time=0
note_on channel=3 note=57 velocity=0 time=0
note_on channel=3 note=66 velocity=100 time=0
note_on channel=3 note=66 velocity=0 time=0.06081075
